"","count","mean","sd","min","X25","X50","X75","max"
"SR-Python-0.6",30,14.284598499173,1.69722897549662,13.4552466865994,13.8171643404008,14.0014729322058,14.206681013704,23.1645403847905
"SR-Python-0.8",30,11.967696367758,0.294139077557355,11.6187704996689,11.8137907023009,11.9041540393239,12.0352727262862,13.2640480462845
"SR-Python-1",30,11.9450055619489,0.184192393625492,11.6283327353575,11.8187850173912,11.9359818084348,12.0537291085146,12.3533526681734
"SR-E-Python-0.6",30,20.2281888723623,1.85885963753898,19.5833961879556,19.7824902498549,19.8856337175074,19.9447115922526,29.97751926106
"SR-E-Python-0.8",30,20.1362718485987,1.2680337117467,19.670048593486,19.8297178825109,19.8787417890146,19.9878744342923,26.813726489357
"SR-E-Python-1",30,34.2977266519947,0.455889465905532,33.8107325505539,34.0229376899651,34.2198260538574,34.3922807026539,36.1199461591964
"SR-C++-0.6",30,8.26749415075664,2.65149981518124,7.46760910729496,7.61893845489585,7.68440636942488,7.76051574246493,22.0406058221905
"SR-C++-0.8",30,7.66458035721951,0.1269831692597,7.452041699836,7.58095196840315,7.66153065433038,7.71175120563375,7.98782782445564
"SR-C++-1",30,7.7119209063768,0.158644739672298,7.45275379389648,7.62181625843559,7.70945666157585,7.78247024797075,8.12152727970584
"SR-E-C++-0.6",30,7.67355509407714,0.0955603579866698,7.50777698190075,7.61800633975185,7.6746864534962,7.71936946696311,7.99818948107601
"SR-E-C++-0.8",30,7.71408931676761,0.157984278756904,7.4522948463722,7.60623053434072,7.68776264222824,7.76645226786532,8.09014694000338
"SR-E-C++-1",30,7.65530871308719,0.113418512093371,7.47619833748559,7.57275102798953,7.63853192203586,7.7057570509731,7.93907209817407
"SR-JavaScript-0.6",30,12.5684474702045,0.182099871994379,12.1555212275875,12.4434811732794,12.5535526896618,12.6734280999452,12.9763788098936
"SR-JavaScript-0.8",30,12.660194766928,0.365025677054501,12.0479253601599,12.4613314349177,12.5860245918389,12.7790542924248,13.8481592085559
"SR-JavaScript-1",30,12.6077288626319,0.309136134924314,12.0156532194774,12.4910858044957,12.5516813940781,12.6974015021219,13.7374185776707
"SR-E-JavaScript-0.6",30,12.5659642075077,0.258495010028799,11.8796003635036,12.4715773414358,12.5890200818116,12.6668258392384,13.1066761416757
"SR-E-JavaScript-0.8",30,12.6224349183878,0.216399756401544,12.0043484963959,12.5582298592454,12.6284586495159,12.7553602055396,12.9771624687842
"SR-E-JavaScript-1",30,12.6068645574227,0.373151300300503,12.0067537106575,12.4417763948675,12.5760402671554,12.7127515622624,14.124966901121
